UpperD_m,Longitude,MeanTemperatureofWarmestQuarter,SoilTypeWRB,SiltContent,BulkDensity,AnnualMeanTemperature,SoilOrganicCarbon,Isothermality,PrecipitationofDriestQuarter
0.12,1.8,17.68333435058594,1.5603472518662902,0.746,1.3239777261699996,10.57499980926514,0.010872,35.87105560302734,140.0
0.1,1.8,17.68333435058594,1.541582484708132,0.663,1.3176640097899994,10.57499980926514,0.010814,35.87105560302734,140.0
0.12,1.8,17.68333435058594,1.4191187951102093,0.783,1.3357540097899994,10.57499980926514,0.010291,35.87105560302734,140.0
0.12,1.8,17.68333435058594,1.4655079550913008,0.783,1.3450192909599992,10.57499980926514,0.010291,35.87105560302734,140.0
0.3,1.8,17.68333435058594,1.423973691474936,0.468,1.3397444987899996,10.57499980926514,0.0057,35.87105560302734,140.0
0.3,1.8,17.68333435058594,1.454887523226347,0.468,1.3417210269099993,10.57499980926514,0.0057,35.87105560302734,140.0
0.0,-102.0,24.39999961853027,1.4735732651134856,0.29913832488999986,1.18,13.72500038146973,0.01,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.6950301883515464,0.2979458592199999,1.25,13.72500038146973,0.013,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.7228768397262766,0.30838348561999995,1.17,13.72500038146973,0.0225,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.8017080196602075,0.33044280057999986,1.18,13.72500038146973,0.01,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.7911962936817374,0.33192880057999985,1.25,13.72500038146973,0.013,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.7312260819847147,0.34258642697999986,1.17,13.72500038146973,0.0225,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.6997367779942836,0.3320698555799998,1.18,13.72500038146973,0.01,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.7353391951623487,0.33187880057999986,1.25,13.72500038146973,0.013,41.58163452148438,36.0
0.0,-102.0,24.39999961853027,1.7136153734022108,0.3411464269799998,1.17,13.72500038146973,0.0225,41.58163452148438,36.0
0.05,-75.0,19.29999923706055,1.4735732651134856,0.52,1.361080635699999,6.3125,0.0216,25.12165451049805,197.0
0.05,-75.0,19.29999923706055,1.4712716143113305,0.52,1.3559806356999988,6.3125,0.0216,25.12165451049805,197.0
0.0,-89.5,20.16666603088379,1.459941954239475,0.3610208913599999,1.37,6.945833206176758,0.0052326,27.77131843566895,81.0
0.0,-89.5,20.16666603088379,1.577181519487529,0.3741390208099999,1.57,6.945833206176758,0.0046512,27.77131843566895,81.0
0.0,-76.0,22.04999923706055,1.4735732651134856,0.534,1.13,11.02499961853027,0.11,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.2758621871929,0.535,1.5,11.02499961853027,0.015,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.2786556369283903,0.359,1.58,11.02499961853027,0.03,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.277477582993327,0.584,1.69,11.02499961853027,0.014,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.1968305689795904,0.534,1.13,11.02499961853027,0.11,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.1998751399547698,0.535,1.5,11.02499961853027,0.015,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.185048888328572,0.359,1.58,11.02499961853027,0.03,30.32473754882812,247.0
0.0,-76.0,22.04999923706055,1.1854366670533594,0.584,1.69,11.02499961853027,0.014,30.32473754882812,247.0
0.0,-78.0,19.26666641235352,1.1505025951693957,0.635,0.88,8.408333778381348,0.071,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.178452338816207,0.671,1.56,8.408333778381348,0.014,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.1936922480900192,0.639,1.47,8.408333778381348,0.02,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.2296572706435824,0.466,1.59,8.408333778381348,0.012,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.2669100447541395,0.635,0.88,8.408333778381348,0.071,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.2584272673495762,0.671,1.56,8.408333778381348,0.014,31.63841819763184,208.0
0.0,-78.0,19.26666641235352,1.235742200993439,0.639,1.47,8.408333778381348,0.02,31.63841819763184,208.0
