Method,Direction,SoilTextureUSDA,SoilTypeWRB,LanduseClass,TillageClass,CropClass,SamplingTimeClass,ContainsCereals,ContainsFallow,ContainsGrassHerbs,ContainsLegume,ContainsMaize,ContainsTreesFruits,ContainsVegetables,Latitude,Longitude,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,AverageAridityIndex,AverageAnnualEvapoTranspiration,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,Isothermality,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Season_sin,Season_cos,UpperD_m,Diameter,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,NbOfCropRotation,ExID,weight,log_Ks
2.0921724376047086,2.0921724376047086,2.0921724376047086,2.0921724376047086,2.019298013075652,2.135407608901169,2.0921724376047086,1.9429229697530972,2.0804086666924793,2.0804086666924793,2.021853571251636,2.021853571251636,2.0921724376047086,2.021853571251636,2.021853571251636,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.3927399999999994,0.073256,1.0,12.0,2.846049894151541,2.271120590446524
2.1120555656982436,2.1120555656982436,2.1120555656982436,2.1120555656982436,2.044480270812739,2.1693358542875076,2.1120555656982436,1.9839476723397755,2.0977461143064833,2.0977461143064833,2.04262582285121,2.04262582285121,2.1120555656982436,2.04262582285121,2.04262582285121,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.3864399999999992,0.073256,1.0,13.0,2.846049894151541,2.305472396043607
2.13139724873278,2.13139724873278,2.13139724873278,2.13139724873278,2.068206827651909,2.196563162638727,2.13139724873278,2.0196726416402013,2.115056637784577,2.115056637784577,2.062844790019856,2.062844790019856,2.13139724873278,2.062844790019856,2.062844790019856,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.3876399999999993,0.073256,1.0,14.0,2.846049894151541,2.027958823707154
1.665302365136365,1.891585675766355,1.7920780370166722,1.665302365136365,1.665302365136365,1.8584383119816916,1.665302365136365,1.9719352315577714,2.1083568059324675,2.1083568059324675,2.0603529352832344,2.0603529352832344,1.7920780370166722,1.665302365136365,2.0603529352832344,38.0,-1.0,303.0,46.0,5.0,42.45603561401367,108.0,31.0,41.0,73.0,11.35833358764648,0.0177,1704.0,17.8791675567627,25.45000076293945,11.14999961853027,41.60561370849609,586.4432983398438,32.40000152587891,5.099999904632568,27.30000114440918,19.0,25.26666641235352,-6.512538424739653e-17,1.0,0.0,4.0,0.2721,0.4292,0.2985,1.42,0.0062209,0.0,69.0,2.82842712474619,1.921067099376002
1.7931847322561834,1.9398708609911708,1.8178758494885379,1.7931847322561834,1.7931847322561834,2.168462439483465,1.7931847322561834,1.9719222481074867,2.094978969749863,2.094978969749863,2.0510672128894187,2.0510672128894187,1.8178758494885379,1.7931847322561834,2.0510672128894187,38.0,-1.0,303.0,46.0,5.0,42.45603561401367,108.0,31.0,41.0,73.0,11.35833358764648,0.0177,1704.0,17.8791675567627,25.45000076293945,11.14999961853027,41.60561370849609,586.4432983398438,32.40000152587891,5.099999904632568,27.30000114440918,19.0,25.26666641235352,-6.531686145294103e-17,1.0,0.0,4.0,0.2721,0.4292,0.2985,1.36,0.0062209,0.0,70.0,2.82842712474619,1.902213456793556
2.121993755548633,1.7920780370166718,1.665302365136365,1.665302365136365,2.0648528273231794,1.9189659508733894,1.9362268218831975,2.0205012598468968,2.082127935552776,2.082127935552776,2.0417638531334275,2.0417638531334275,1.8319321173727074,2.0603529352832344,2.0417638531334275,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,-2.449293598294706e-16,1.0,0.12,8.0,0.181,0.783,0.036,1.3871290953600002,0.010291,1.0,72.0,0.8320502943378437,2.510651024098093
2.154381861261087,1.935792634432956,2.087976694617229,2.087976694617229,2.0991449963058653,1.9929265850264775,2.0873114974567097,2.0650603293242784,2.108910628586858,2.108910628586858,2.069345451425466,2.069345451425466,1.92889196119062,2.0903728078708914,2.069345451425466,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,-2.449293598294706e-16,1.0,0.12,8.0,0.21,0.746,0.044,1.3978586308099992,0.010872,1.0,73.0,0.8320502943378437,2.201282663082338
2.1579896152473377,1.9800409725411863,1.665302365136365,2.1257453507722657,2.1064405439327563,2.130426870527764,2.074456426035286,2.076412190470783,2.1143442776748276,2.1143442776748276,2.0766752965175144,2.0766752965175144,1.9629407989270846,2.097304673821607,2.0766752965175144,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,-2.449293598294706e-16,1.0,0.1,8.0,0.279,0.663,0.058,1.3556272616199998,0.010814,1.0,74.0,0.8320502943378437,1.874695143628149
2.137754295845967,1.9649915684107526,2.1257453507722657,2.062982798986236,2.0909908505791157,2.0160772603660178,2.0802947406164236,2.0608954945598112,2.1010304368944563,2.1010304368944563,2.0660447621549163,2.0660447621549163,1.9531357261160922,2.0842099955749327,2.0660447621549163,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,0.0,1.0,0.12,8.0,0.181,0.783,0.036,1.4292386308099996,0.010291,1.0,75.0,0.8320502943378437,2.739190171235944
2.1778500208719653,2.061766393763902,2.279106555888185,2.1982242734361774,2.131503308120167,2.0883885514530105,2.1034955263635964,2.1093451143223922,2.134617791333482,2.134617791333482,2.0997020326089677,2.0997020326089677,2.0317411706280772,2.120597783111655,2.0997020326089677,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,-0.8660254037844385,-0.5000000000000004,0.12,8.0,0.181,0.783,0.036,1.4066886308099993,0.010291,1.0,76.0,0.8320502943378437,2.422350140327549
2.193131278337939,2.1018312544931956,1.8319321173727074,2.2355785845847396,2.1486119453088364,2.098460404665312,2.077947214410883,2.1302121160560694,2.149004408783185,2.149004408783185,2.115066228214615,2.115066228214615,2.067251076964393,2.1364794861230183,2.115066228214615,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,0.0,1.0,0.3,8.0,0.313,0.468,0.219,1.3618372616199996,0.0057,1.0,83.0,0.8320502943378437,2.459176644060424
2.208781005733379,2.1375657934499186,1.9215384783280955,2.2675211645098377,2.165865539683925,2.1385399868203248,2.0898813215579874,2.150772399056341,2.163774515224959,2.163774515224959,2.1307076107530603,2.1307076107530603,2.099911540889062,2.152614344019889,2.1307076107530603,48.3,1.8,621.0,63.0,41.0,11.74535179138184,169.0,140.0,147.0,155.0,8.716666221618652,0.0648,957.0,10.57499980926514,17.68333435058594,3.866666555404663,35.87105560302734,567.3442993164062,25.0,0.699999988079071,24.29999923706055,15.76666641235352,6.666666507720947,-0.8660254037844385,-0.5000000000000004,0.3,8.0,0.313,0.468,0.219,1.3582968948699996,0.0057,1.0,84.0,0.8320502943378437,2.249566923086469
1.665302365136365,2.147747714325969,1.7699987543822568,1.665302365136365,2.17027087565248,2.149642680446939,1.9278433100554833,2.0795078981818507,1.5508024909897822,2.1676741701277544,2.13587540694147,2.13587540694147,2.111423493365786,2.1572311334992498,2.13587540694147,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.2897474280000001,0.3445888583899998,0.3502597400700004,1.18,0.01,2.0,85.0,2.0,1.916487111589607
1.790894738362986,2.128475997431272,1.8188282067847068,1.790894738362986,2.157581687449336,1.8793145744464617,1.9897434750036256,2.0416869210539583,2.1676741701277544,2.156752993669574,2.1267342279684756,2.1267342279684756,2.0974994660960586,2.146288223412448,2.1267342279684756,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.2934275519999999,0.3476920802399999,0.3481906370700004,1.25,0.013,1.0,86.0,2.0,1.778570142475737
1.7867865397339031,2.1015601624346925,1.8087636907074645,1.7867865397339031,1.8584383119816916,1.8541284664537805,2.003125102648421,2.0310303535780703,2.1507566037081016,2.140995374869831,2.1128076645487655,2.1128076645487655,2.076237511188037,2.1303004807630255,2.1128076645487655,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.291648552,0.34975935739999997,0.34329507507000045,1.17,0.0225,0.0,87.0,2.0,2.038201559462
1.8496402946659274,2.097034547936643,1.8546512644583715,1.8496402946659274,2.1395335186410698,2.128446719641727,1.9308971342750731,2.0387527015337894,1.6726973645230572,2.1368836222535177,2.1099381989685053,2.1099381989685053,2.07386026420516,2.126463025708816,2.1099381989685053,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.3021337849999999,0.3417164786999999,0.3469927852500004,1.18,0.01,2.0,88.0,2.0,1.749149389767858
1.8295421136863133,2.0738422040587237,1.8370676186766193,1.8295421136863133,2.121788785510469,1.890943085055424,1.9950589839818635,2.035791563713174,2.1460668101978473,2.1219707671579155,2.096575650479593,2.096575650479593,2.054759624532377,2.111370480271178,2.096575650479593,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.29671251199999993,0.3473743374099999,0.34842063707000037,1.25,0.013,1.0,89.0,2.0,1.431375023499601
1.763180931988528,2.0336880052737785,1.779111533651331,1.763180931988528,1.9183593944751278,1.8143484081294536,1.9893477059536542,2.0292173066084156,2.1174791387299177,2.096393147022422,2.0728184852303073,2.0728184852303073,2.020127146697223,2.0852168088568863,2.0728184852303073,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.29184195399999996,0.34836914367999994,0.34801460706000037,1.17,0.0225,0.0,90.0,2.0,1.510800954051696
1.7271266494261235,2.0029299434371852,1.7455727112013766,1.7271266494261235,2.0917707958578227,2.0968386088189046,1.9182946007637176,1.9808320391806031,1.6918103708342571,2.0754791401306107,2.053438570362079,2.053438570362079,1.9933205049790372,2.0639421475678055,2.053438570362079,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.2902751740000001,0.3425410303899998,0.35211974007000035,1.18,0.01,2.0,91.0,2.0,1.984556115338806
1.7593053326652086,2.001909175209498,1.772126422772202,1.7593053326652086,2.0873035175028636,1.7709844861183455,1.9780648970886188,2.0296552285845864,2.09414536239614,2.0723438634136517,2.05114248852797,2.05114248852797,1.992882285497026,2.061106932131055,2.05114248852797,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.2919645779999999,0.3453937075299999,0.34993948607000036,1.25,0.013,1.0,92.0,2.0,1.539824799321106
1.7349186067380864,1.977588944899582,1.7488962604270923,1.7349186067380864,1.8164697843692699,1.7420895252686905,1.9939696301883316,2.0242496503166496,2.0736149711711387,2.0545932279439003,2.034648369521297,2.034648369521297,1.9713081194886488,2.0431316861720914,2.034648369521297,35.0,-102.0,470.0,86.0,10.0,66.20069122314453,222.0,36.0,222.0,36.0,16.29999923706055,0.0216,2170.0,13.72500038146973,24.39999961853027,3.116666555404663,41.58163452148438,861.7305908203125,33.29999923706055,-5.900000095367432,39.20000076293945,24.39999961853027,3.116666555404663,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.29464156300000005,0.34432595253999987,0.34687182606000033,1.17,0.0225,0.0,93.0,2.0,1.778042663189203
2.211046890030773,1.9676116308140632,1.9625420339228923,1.665302365136365,2.065404368775593,2.11874869589615,2.1219937555486323,2.1565838416463485,2.063058817314641,2.045672241984071,2.0266294411984194,2.0266294411984194,2.1219937555486323,2.0342953854059953,2.0266294411984194,45.0,-75.0,990.0,96.0,62.0,13.87737846374512,284.0,197.0,278.0,213.0,10.32499980926514,0.104,951.0,6.3125,19.29999923706055,-7.816666603088379,25.12165451049805,1099.504272460938,26.5,-14.60000038146973,41.09999847412109,18.38333320617676,-6.849999904632568,0.8660254037844387,-0.4999999999999998,0.05,21.5,0.278,0.52,0.201,1.3848799999999988,0.0216,1.0,95.0,10.0,1.743146655673229
2.1864205619066923,1.9569228224740238,1.9381647696729298,1.7042245104047968,2.053009841348579,1.7460843183709696,2.0904231638923485,2.133615109092287,2.052027363464937,2.036218317411858,2.018039053758262,2.018039053758262,2.0904231638923485,2.0249034908984864,2.018039053758262,45.0,-75.0,990.0,96.0,62.0,13.87737846374512,284.0,197.0,278.0,213.0,10.32499980926514,0.104,951.0,6.3125,19.29999923706055,-7.816666603088379,25.12165451049805,1099.504272460938,26.5,-14.60000038146973,41.09999847412109,18.38333320617676,-6.849999904632568,0.8660254037844387,-0.4999999999999998,0.05,21.5,0.278,0.52,0.201,1.3954299999999993,0.0216,1.0,96.0,10.0,1.383960704687641
