BulkDensity,SoilTypeWRB,Longitude,PrecipitationofColdestQuarter,AnnualMeanTemperature,SiltContent,PrecipitationofDriestQuarter,SoilTextureUSDA,Isothermality,SoilOrganicCarbon
1.3265540097899993,1.4735732651134856,1.8,155.0,10.57499980926514,0.783,140.0,1.4735732651134856,35.87105560302734,0.010291
1.3239777261699996,1.5603472518662902,1.8,155.0,10.57499980926514,0.746,140.0,1.5603472518662902,35.87105560302734,0.010872
1.3176640097899994,1.541582484708132,1.8,155.0,10.57499980926514,0.663,140.0,1.4735732651134856,35.87105560302734,0.010814
1.3357540097899994,1.4191187951102093,1.8,155.0,10.57499980926514,0.783,140.0,1.5415824847081323,35.87105560302734,0.010291
1.3450192909599992,1.4655079550913008,1.8,155.0,10.57499980926514,0.783,140.0,1.5689530122850162,35.87105560302734,0.010291
1.3397444987899996,1.423973691474936,1.8,155.0,10.57499980926514,0.468,140.0,1.7999772673688943,35.87105560302734,0.0057
1.3417210269099993,1.454887523226347,1.8,155.0,10.57499980926514,0.468,140.0,1.7771763025640257,35.87105560302734,0.0057
1.18,1.4735732651134856,-102.0,36.0,13.72500038146973,0.29913832488999986,36.0,1.2626504957149627,41.58163452148438,0.01
1.25,1.6950301883515464,-102.0,36.0,13.72500038146973,0.2979458592199999,36.0,1.480596034339844,41.58163452148438,0.013
1.17,1.7228768397262766,-102.0,36.0,13.72500038146973,0.30838348561999995,36.0,1.5550895613738174,41.58163452148438,0.0225
1.18,1.8017080196602075,-102.0,36.0,13.72500038146973,0.33044280057999986,36.0,1.6517119609914537,41.58163452148438,0.01
1.25,1.7911962936817374,-102.0,36.0,13.72500038146973,0.33192880057999985,36.0,1.6679515324541878,41.58163452148438,0.013
1.17,1.7312260819847147,-102.0,36.0,13.72500038146973,0.34258642697999986,36.0,1.6341548883178183,41.58163452148438,0.0225
1.18,1.6997367779942836,-102.0,36.0,13.72500038146973,0.3320698555799998,36.0,1.618735646534553,41.58163452148438,0.01
1.25,1.7353391951623487,-102.0,36.0,13.72500038146973,0.33187880057999986,36.0,1.659382365290581,41.58163452148438,0.013
