SiltContent,SoilOrganicCarbon,BulkDensity,Isothermality,Longitude,SoilTextureUSDA,PrecipitationofDriestQuarter,SoilTypeWRB,AnnualMeanTemperature
0.783,0.010291,1.3450192909599992,35.87105560302734,1.8,1.5689530122850162,140.0,1.4655079550913008,10.57499980926514
0.468,0.0057,1.3397444987899996,35.87105560302734,1.8,1.7999772673688943,140.0,1.423973691474936,10.57499980926514
0.468,0.0057,1.3417210269099993,35.87105560302734,1.8,1.7771763025640257,140.0,1.454887523226347,10.57499980926514
0.29913832488999986,0.01,1.18,41.58163452148438,-102.0,1.2626504957149627,36.0,1.4735732651134856,13.72500038146973
0.2979458592199999,0.013,1.25,41.58163452148438,-102.0,1.480596034339844,36.0,1.6950301883515464,13.72500038146973
0.30838348561999995,0.0225,1.17,41.58163452148438,-102.0,1.5550895613738174,36.0,1.7228768397262766,13.72500038146973
0.33044280057999986,0.01,1.18,41.58163452148438,-102.0,1.6517119609914537,36.0,1.8017080196602075,13.72500038146973
0.33192880057999985,0.013,1.25,41.58163452148438,-102.0,1.6679515324541878,36.0,1.7911962936817374,13.72500038146973
0.34258642697999986,0.0225,1.17,41.58163452148438,-102.0,1.6341548883178183,36.0,1.7312260819847147,13.72500038146973
0.3320698555799998,0.01,1.18,41.58163452148438,-102.0,1.618735646534553,36.0,1.6997367779942836,13.72500038146973
0.33187880057999986,0.013,1.25,41.58163452148438,-102.0,1.659382365290581,36.0,1.7353391951623487,13.72500038146973
0.3411464269799998,0.0225,1.17,41.58163452148438,-102.0,1.6474266086936336,36.0,1.7136153734022108,13.72500038146973
0.52,0.0216,1.361080635699999,25.12165451049805,-75.0,1.7419446361599442,197.0,1.4735732651134856,6.3125
0.52,0.0216,1.3559806356999988,25.12165451049805,-75.0,1.711614116976525,197.0,1.4712716143113305,6.3125
0.3610208913599999,0.0052326,1.37,27.77131843566895,-89.5,1.4735732651134856,81.0,1.459941954239475,6.945833206176758
0.3741390208099999,0.0046512,1.57,27.77131843566895,-89.5,1.9943356532927217,81.0,1.577181519487529,6.945833206176758
0.534,0.11,1.13,30.32473754882812,-76.0,1.4984228845066352,247.0,1.4735732651134856,11.02499961853027
0.535,0.015,1.5,30.32473754882812,-76.0,1.4283775886342482,247.0,1.2758621871929,11.02499961853027
0.359,0.03,1.58,30.32473754882812,-76.0,1.4735732651134856,247.0,1.2786556369283903,11.02499961853027
0.584,0.014,1.69,30.32473754882812,-76.0,1.4077868668864084,247.0,1.277477582993327,11.02499961853027
0.534,0.11,1.13,30.32473754882812,-76.0,1.341093822641188,247.0,1.1968305689795904,11.02499961853027
0.535,0.015,1.5,30.32473754882812,-76.0,1.3270942862177968,247.0,1.1998751399547698,11.02499961853027
0.359,0.03,1.58,30.32473754882812,-76.0,1.3737583431508114,247.0,1.185048888328572,11.02499961853027
0.584,0.014,1.69,30.32473754882812,-76.0,1.3039939954531556,247.0,1.1854366670533594,11.02499961853027
0.635,0.071,0.88,31.63841819763184,-78.0,1.264633634057204,208.0,1.1505025951693957,8.408333778381348
0.671,0.014,1.56,31.63841819763184,-78.0,1.278414167188896,208.0,1.178452338816207,8.408333778381348
0.639,0.02,1.47,31.63841819763184,-78.0,1.2836201036226842,208.0,1.1936922480900192,8.408333778381348
0.466,0.012,1.59,31.63841819763184,-78.0,1.3118892681428311,208.0,1.2296572706435824,8.408333778381348
0.635,0.071,0.88,31.63841819763184,-78.0,1.3080238475591195,208.0,1.2669100447541395,8.408333778381348
0.671,0.014,1.56,31.63841819763184,-78.0,1.2973656684611952,208.0,1.2584272673495762,8.408333778381348
0.639,0.02,1.47,31.63841819763184,-78.0,1.2736647686828402,208.0,1.235742200993439,8.408333778381348
0.466,0.012,1.59,31.63841819763184,-78.0,1.4124027846273288,208.0,1.2142620615006343,8.408333778381348
0.423,0.11,1.64,30.32473754882812,-76.0,1.311346474216251,247.0,1.1961949539165935,11.02499961853027
0.421,0.013,1.6,30.32473754882812,-76.0,1.3726522688147902,247.0,1.2230275254660876,11.02499961853027
0.57,0.021,1.55,30.32473754882812,-76.0,1.2512174275314123,247.0,1.2209255561391494,11.02499961853027
0.23,0.005,1.78,30.32473754882812,-76.0,1.8260366830324366,247.0,1.2320852749190339,11.02499961853027
0.423,0.11,1.64,30.32473754882812,-76.0,1.3455719601632867,247.0,1.2470379395188897,11.02499961853027
0.421,0.013,1.6,30.32473754882812,-76.0,1.3466183823219406,247.0,1.2518972757876912,11.02499961853027
0.57,0.021,1.55,30.32473754882812,-76.0,1.2619342333206025,247.0,1.2545130502997413,11.02499961853027
0.23,0.005,1.78,30.32473754882812,-76.0,1.8027078954060676,247.0,1.2310345903114706,11.02499961853027
0.473,0.011,1.22,37.62541961669922,-0.06667,1.342778572015597,78.0,1.4735732651134856,15.23333358764648
0.473,0.011,1.14,37.62541961669922,-0.06667,1.3857792539389302,78.0,1.623179328181208,15.23333358764648
0.473,0.011,1.3,37.62541961669922,-0.06667,1.4165486415609978,78.0,1.6568670580480296,15.23333358764648
0.715,0.0371,0.75,37.69607925415039,-117.0,1.2318866426501096,80.0,1.72005810238091,8.458333015441895
0.704,0.0147,1.1,37.69607925415039,-117.0,1.2618108389471634,80.0,1.7300865084000259,8.458333015441895
0.736,0.0182,1.1,37.69607925415039,-117.0,1.2278270494128218,80.0,1.631591904260523,8.458333015441895
0.714,0.0319,0.9,37.69607925415039,-117.0,1.2198059851102336,80.0,1.5869589604524732,8.458333015441895
0.705,0.0143,1.25,37.69607925415039,-117.0,1.246679060708063,80.0,1.6048823721244616,8.458333015441895
