UpperD_m,SiltContent,SoilOrganicCarbon,BulkDensity,Isothermality,Longitude,ClayContent,AnnualMeanTemperature,SoilTypeWRB
0.0,0.325,0.037,1.2,25.882080078125,-81.0,0.141,7.320833206176758,1.3920641179888917
0.0,0.365,0.019,1.4,25.882080078125,-81.0,0.146,7.320833206176758,1.3915917917444325
0.0,0.365,0.019,1.4,25.882080078125,-81.0,0.146,7.320833206176758,1.3849712585042036
0.0,0.488,0.031,1.1,25.882080078125,-81.0,0.207,7.320833206176758,1.3865512581693007
0.0,0.12,0.0115,1.23,45.65217590332031,146.0,0.24,15.61666679382324,1.400082677998137
0.0,0.12,0.0115,1.33,45.65217590332031,146.0,0.24,15.61666679382324,1.3841712606399315
0.0,0.201,0.0077,1.5361800000000005,62.47927474975586,-1.0,0.115,27.94583320617676,1.4735732651134856
0.0,0.201,0.0077,1.52998,62.47927474975586,-1.0,0.115,27.94583320617676,1.7754215170988212
0.0,0.201,0.0077,1.5426431540300003,62.47927474975586,-1.0,0.115,27.94583320617676,1.861724746754781
0.0,0.201,0.0077,1.54554315403,62.47927474975586,-1.0,0.115,27.94583320617676,1.9046034459146142
0.0,0.171,0.00684,1.56,48.14452743530273,78.6,0.248,26.78750038146973,1.4735732651134856
0.0,0.175,0.00625,1.62,48.14452743530273,78.6,0.334,26.78750038146973,1.5357566379256693
0.0,0.173,0.00889,1.41,48.14452743530273,78.6,0.278,26.78750038146973,1.5485148478596857
0.0,0.179,0.01782,1.37,48.14452743530273,78.6,0.219,26.78750038146973,1.641024768532333
0.0,0.29,0.0242,1.05,27.57623481750488,135.3,0.21,13.73750019073486,1.3754835367200005
0.0,0.29,0.0117,1.1,27.57623481750488,135.3,0.21,13.73750019073486,1.4008457261271194
0.0,0.29,0.0064,1.15,27.57623481750488,135.3,0.21,13.73750019073486,1.4286989476220644
0.0,0.29,0.0242,1.05,27.57623481750488,135.3,0.21,13.73750019073486,1.414408489113115
0.0,0.29,0.0117,1.1,27.57623481750488,135.3,0.21,13.73750019073486,1.409542673313272
0.0,0.29,0.0064,1.15,27.57623481750488,135.3,0.21,13.73750019073486,1.4011693087017025
0.0,0.32,0.006,1.4897715159,41.19812774658203,-6.2,0.67,18.02083396911621,1.7874022154198876
0.0,0.502,0.01,1.09,37.937744140625,1.4,0.32,13.26666641235352,1.366099496860504
0.0,0.502,0.01,1.43,37.937744140625,1.4,0.32,13.26666641235352,1.3881043443036714
0.0,0.623,0.008,1.07,37.937744140625,1.4,0.166,13.26666641235352,1.3934030168540472
0.0,0.623,0.008,1.42,37.937744140625,1.4,0.166,13.26666641235352,1.4142300872928362
0.0,0.374,0.013,1.28,37.937744140625,1.4,0.104,13.26666641235352,1.4177007526931111
0.0,0.374,0.013,1.4,37.937744140625,1.4,0.104,13.26666641235352,1.4213903759545192
0.0,0.516,0.013,1.23,37.937744140625,1.4,0.331,13.26666641235352,1.4233554740552528
0.0,0.516,0.013,1.41,37.937744140625,1.4,0.331,13.26666641235352,1.429018973183584
0.0,0.58,0.012,1.21,37.937744140625,1.4,0.152,13.26666641235352,1.4321502499486007
0.0,0.58,0.012,1.4,37.937744140625,1.4,0.152,13.26666641235352,1.4436014198734555
0.0,0.302,0.013,1.23,37.937744140625,1.4,0.108,13.26666641235352,1.4446473610667527
0.0,0.302,0.013,1.4,37.937744140625,1.4,0.108,13.26666641235352,1.4506758506497608
0.0,0.502,0.01,1.35,37.937744140625,1.4,0.32,13.26666641235352,1.4503839906930522
0.0,0.502,0.01,1.39,37.937744140625,1.4,0.32,13.26666641235352,1.4525407911019728
0.0,0.623,0.008,1.34,37.937744140625,1.4,0.166,13.26666641235352,1.4511039284064482
0.0,0.623,0.008,1.38,37.937744140625,1.4,0.166,13.26666641235352,1.4521612957102565
0.0,0.374,0.013,1.42,37.937744140625,1.4,0.104,13.26666641235352,1.4488553604931318
0.0,0.374,0.013,1.4,37.937744140625,1.4,0.104,13.26666641235352,1.4464698153961741
0.0,0.516,0.013,1.21,37.937744140625,1.4,0.331,13.26666641235352,1.4446711861455948
0.0,0.516,0.013,1.41,37.937744140625,1.4,0.331,13.26666641235352,1.441805657033682
0.0,0.58,0.012,1.24,37.937744140625,1.4,0.152,13.26666641235352,1.441189793895412
0.0,0.58,0.012,1.43,37.937744140625,1.4,0.152,13.26666641235352,1.439966353337884
0.0,0.302,0.013,1.24,37.937744140625,1.4,0.108,13.26666641235352,1.4367069676427675
0.0,0.302,0.013,1.37,37.937744140625,1.4,0.108,13.26666641235352,1.4358441755874531
0.15,0.502,0.01,0.97,37.937744140625,1.4,0.32,13.26666641235352,1.4338009770045703
0.15,0.502,0.01,1.5,37.937744140625,1.4,0.32,13.26666641235352,1.449341209660431
0.15,0.623,0.008,1.05,37.937744140625,1.4,0.166,13.26666641235352,1.4518935528702832
0.15,0.623,0.008,1.5,37.937744140625,1.4,0.166,13.26666641235352,1.4693320792218638
0.15,0.374,0.013,1.13,37.937744140625,1.4,0.104,13.26666641235352,1.4680201337478693
0.15,0.374,0.013,1.5,37.937744140625,1.4,0.104,13.26666641235352,1.477407910780263
0.15,0.516,0.013,1.31,37.937744140625,1.4,0.331,13.26666641235352,1.4774515657927114
0.15,0.516,0.013,1.34,37.937744140625,1.4,0.331,13.26666641235352,1.4843621320198614
0.15,0.58,0.012,1.33,37.937744140625,1.4,0.152,13.26666641235352,1.4923678029000447
0.15,0.58,0.012,1.37,37.937744140625,1.4,0.152,13.26666641235352,1.4992965053517642
0.15,0.302,0.013,1.23,37.937744140625,1.4,0.108,13.26666641235352,1.5056500495047966
0.15,0.302,0.013,1.4,37.937744140625,1.4,0.108,13.26666641235352,1.5069972836146075
0.0,0.38,0.0085,1.22,33.51400375366211,45.0,0.51,10.64999961853027,1.4111950950121017
0.0,0.38,0.0085,1.21,33.51400375366211,45.0,0.51,10.64999961853027,1.4418269375561907
0.0,0.38,0.0085,1.17,33.51400375366211,45.0,0.51,10.64999961853027,1.4796004697256435
0.0,0.367,0.0103,1.19,33.51400375366211,45.0,0.44,10.64999961853027,1.5158036077034542
0.0,0.367,0.0103,1.22,33.51400375366211,45.0,0.44,10.64999961853027,1.5448161755259682
0.0,0.367,0.0103,1.25,33.51400375366211,45.0,0.44,10.64999961853027,1.5712919542406807
0.0,0.391,0.0072,1.26,33.51400375366211,45.0,0.45,10.64999961853027,1.59620853092073
0.0,0.391,0.0072,1.28,33.51400375366211,45.0,0.45,10.64999961853027,1.6145716749420103
0.0,0.391,0.0072,1.32,33.51400375366211,45.0,0.45,10.64999961853027,1.63786002149103
0.0,0.338,0.0106,1.24,33.51400375366211,45.0,0.57,10.64999961853027,1.660615298866654
0.0,0.338,0.0106,1.26,33.51400375366211,45.0,0.57,10.64999961853027,1.6633584683154305
0.0,0.338,0.0106,1.2,33.51400375366211,45.0,0.57,10.64999961853027,1.6746839098517163
0.0,0.6681119096399999,0.0042,1.2968916626000007,29.80910491943359,110.4,0.176,7.658333301544189,1.6853783562580726
0.0,0.6681119096399999,0.0042,1.2964916626000007,29.80910491943359,110.4,0.176,7.658333301544189,1.682666062554923
