BulkDensity,AnnualPrecipitation,SoilOrganicCarbon,AverageAridityIndex,Season_sin,SoilTypeWRB,MeanDiurnalRange,UpperD_m,MeanTemperatureofDriestQuarter,Longitude,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter
1.1,565.0,0.0182,0.046,-0.8660254037844385,1.2858595351623578,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
0.9,565.0,0.0319,0.046,-0.8660254037844385,1.2590421713864692,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.25,565.0,0.0143,0.046,-0.8660254037844385,1.2730306529000597,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
0.75,565.0,0.0371,0.046,0.0,1.2642610327876729,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0147,0.046,0.0,1.294570780504971,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
0.9,565.0,0.0319,0.046,0.0,1.288803756445812,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0147,0.046,0.0,1.3121361910127243,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0182,0.046,0.0,1.3082396558249425,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0182,0.046,0.8660254037844387,1.3014153125624548,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
0.9,565.0,0.0319,0.046,0.8660254037844387,1.3032388532439094,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.25,565.0,0.0134,0.046,0.8660254037844387,1.327206598795296,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.3947899999999995,492.0,0.013954,0.0355,0.8660254037844387,0.8469226735695834,11.48333358764648,0.0,7.533333301544189,1.0,22.45000076293945,92.0
1.3952999999999998,492.0,0.013954,0.0355,0.8660254037844387,0.8115637026157521,11.48333358764648,0.0,7.533333301544189,1.0,22.45000076293945,92.0
1.3854899999999994,492.0,0.013954,0.0355,0.8660254037844387,0.7669476802634023,11.48333358764648,0.0,7.533333301544189,1.0,22.45000076293945,92.0
1.66,564.0,0.0085,0.0332,0.01732050807568874,1.1169002096887302,11.72500038146973,0.0,22.88333320617676,-8.0,23.26666641235352,25.0
1.83,564.0,0.0083,0.0332,0.008660254037844322,1.048363053551016,11.72500038146973,0.0,22.88333320617676,-8.0,23.26666641235352,25.0
1.62,564.0,0.0114,0.0332,0.008660254037844324,0.9756737373430714,11.72500038146973,0.0,22.88333320617676,-8.0,23.26666641235352,25.0
1.7,564.0,0.0074,0.0332,-5.808535995123434e-17,1.5394629242154132,11.72500038146973,0.0,22.88333320617676,-8.0,23.26666641235352,25.0
1.28,560.0,0.017,0.0777,0.8660254037844387,0.6332195252225268,8.008333206176758,0.0,-0.2166667282581329,17.6,15.41666698455811,93.0
1.44,1076.0,0.04,0.0952,0.15588457268119899,1.2621258000467888,8.791666984558105,0.075,15.31666660308838,175.3,16.64999961853027,216.0
1.5273100000000008,423.0,0.0034,0.0285,0.0,0.6475073689646422,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.5413000000000008,423.0,0.0034,0.0285,0.8660254037844387,0.7610787050064054,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
