AverageAridityIndex,UpperD_m,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,Longitude,Season_sin,SoilTypeWRB,MeanDiurnalRange,AnnualPrecipitation,SiltContent,MeanTemperatureofDriestQuarter,Isothermality
0.0177,0.0,0.0062209,1.42,31.0,-1.0,-0.01732050807568883,1.2621258000467888,11.35833358764648,303.0,0.4292,25.26666641235352,41.60561370849609
0.0177,0.0,0.0062209,1.36,31.0,-1.0,-0.008660254037844452,1.5407779743449135,11.35833358764648,303.0,0.4292,25.26666641235352,41.60561370849609
0.0648,0.12,0.010291,1.2393033985299995,140.0,1.8,-2.449293598294706e-16,1.2621258000467888,8.716666221618652,621.0,0.783,6.666666507720947,35.87105560302734
0.0648,0.12,0.010872,1.2596636185799996,140.0,1.8,-2.449293598294706e-16,1.1280059822845678,8.716666221618652,621.0,0.746,6.666666507720947,35.87105560302734
0.0648,0.1,0.010814,1.284245158919999,140.0,1.8,-2.449293598294706e-16,1.0737404293438404,8.716666221618652,621.0,0.663,6.666666507720947,35.87105560302734
0.0648,0.12,0.010291,1.3339213447399991,140.0,1.8,0.0,0.9410521141130801,8.716666221618652,621.0,0.783,6.666666507720947,35.87105560302734
0.0648,0.12,0.010291,1.3614413447399993,140.0,1.8,-0.8660254037844385,0.9590302538140122,8.716666221618652,621.0,0.783,6.666666507720947,35.87105560302734
0.0648,0.3,0.0057,1.3625513447399995,140.0,1.8,0.0,0.9186240029800495,8.716666221618652,621.0,0.468,6.666666507720947,35.87105560302734
0.0648,0.3,0.0057,1.3889613447400004,140.0,1.8,-0.8660254037844385,0.9555040623617438,8.716666221618652,621.0,0.468,6.666666507720947,35.87105560302734
0.0216,0.0,0.01,1.18,36.0,-102.0,0.8660254037844387,1.2621258000467888,16.29999923706055,470.0,0.30260401996999975,3.116666555404663,41.58163452148438
0.0216,0.0,0.013,1.25,36.0,-102.0,0.8660254037844387,1.589306455818198,16.29999923706055,470.0,0.2885040199699998,3.116666555404663,41.58163452148438
0.0216,0.0,0.0225,1.17,36.0,-102.0,0.8660254037844387,1.5865792208045584,16.29999923706055,470.0,0.33513061943999994,3.116666555404663,41.58163452148438
0.0216,0.0,0.01,1.18,36.0,-102.0,0.8660254037844387,1.588856326597702,16.29999923706055,470.0,0.29230102082999976,3.116666555404663,41.58163452148438
0.0216,0.0,0.013,1.25,36.0,-102.0,0.8660254037844387,1.5842458914782476,16.29999923706055,470.0,0.29173313637999987,3.116666555404663,41.58163452148438
0.0216,0.0,0.0225,1.17,36.0,-102.0,0.8660254037844387,1.5414851630481363,16.29999923706055,470.0,0.3069714986699999,3.116666555404663,41.58163452148438
0.0216,0.0,0.01,1.18,36.0,-102.0,0.8660254037844387,1.5169329557445155,16.29999923706055,470.0,0.29206102082999974,3.116666555404663,41.58163452148438
0.0216,0.0,0.013,1.25,36.0,-102.0,0.8660254037844387,1.561330215503025,16.29999923706055,470.0,0.2918722536599998,3.116666555404663,41.58163452148438
0.0216,0.0,0.0225,1.17,36.0,-102.0,0.8660254037844387,1.535866770414161,16.29999923706055,470.0,0.3069714986699999,3.116666555404663,41.58163452148438
0.104,0.05,0.0216,1.3705138141799993,197.0,-75.0,0.8660254037844387,1.2621258000467888,10.32499980926514,990.0,0.52,-6.849999904632568,25.12165451049805
0.104,0.05,0.0216,1.3882404645499997,197.0,-75.0,0.8660254037844387,1.0991363501696274,10.32499980926514,990.0,0.52,-6.849999904632568,25.12165451049805
0.07880000000000001,0.0,0.0052326,1.37,81.0,-89.5,0.0,0.9684197272787078,11.94166660308838,811.0,0.40593181666,-7.583333492279053,27.77131843566895
0.07880000000000001,0.0,0.0046512,1.57,81.0,-89.5,0.0,1.0844150698313717,11.94166660308838,811.0,0.33799937185999995,-7.583333492279053,27.77131843566895
0.0922,0.0,0.11,1.13,247.0,-76.0,0.0,1.2621258000467888,10.58333301544189,1146.0,0.534,0.5499999523162842,30.32473754882812
0.0922,0.0,0.015,1.5,247.0,-76.0,0.0,0.9744690374092357,10.58333301544189,1146.0,0.535,0.5499999523162842,30.32473754882812
0.0922,0.0,0.03,1.58,247.0,-76.0,0.0,0.9442702339068951,10.58333301544189,1146.0,0.359,0.5499999523162842,30.32473754882812
0.0922,0.0,0.014,1.69,247.0,-76.0,0.0,0.939389809384491,10.58333301544189,1146.0,0.584,0.5499999523162842,30.32473754882812
0.0922,0.0,0.11,1.13,247.0,-76.0,-0.8660254037844385,0.8709708323462545,10.58333301544189,1146.0,0.534,0.5499999523162842,30.32473754882812
0.0922,0.0,0.015,1.5,247.0,-76.0,-0.8660254037844385,0.8595901813077211,10.58333301544189,1146.0,0.535,0.5499999523162842,30.32473754882812
0.0922,0.0,0.03,1.58,247.0,-76.0,-0.8660254037844385,0.8538121088079988,10.58333301544189,1146.0,0.359,0.5499999523162842,30.32473754882812
0.0922,0.0,0.014,1.69,247.0,-76.0,-0.8660254037844385,0.8425479662905246,10.58333301544189,1146.0,0.584,0.5499999523162842,30.32473754882812
0.09860000000000001,0.0,0.071,0.88,208.0,-78.0,0.0,0.7931996320719459,11.19999980926514,1038.0,0.635,-3.150000095367432,31.63841819763184
0.09860000000000001,0.0,0.014,1.56,208.0,-78.0,0.0,0.8138323788587589,11.19999980926514,1038.0,0.671,-3.150000095367432,31.63841819763184
0.09860000000000001,0.0,0.02,1.47,208.0,-78.0,0.0,0.830200904828176,11.19999980926514,1038.0,0.639,-3.150000095367432,31.63841819763184
