SoilTextureUSDA,AnnualMeanTemperature,Longitude,ClayContent,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,SoilTypeWRB,SiltContent,SamplingTimeClass,Isothermality
1.5466651737145445,8.012499809265137,110.3,0.03,0.0027,1.26874616138,9.0,1.3526280704690326,0.321,1.4124839796984539,29.98168563842773
1.5540199350452013,8.012499809265137,110.3,0.03,0.0027,1.2733676772700002,9.0,1.3729943295607607,0.321,1.4166205186580387,29.98168563842773
1.552517996493346,8.012499809265137,110.3,0.03,0.0027,1.2683676772700003,9.0,1.3794689699859408,0.321,1.4177068864207623,29.98168563842773
1.535128647580664,18.22916603088379,52.5,0.172,0.0136,1.52,2.0,1.7656179404276813,0.137,1.4165977981719382,39.75876998901367
1.2802259077344975,11.81666660308838,172.5,0.196,0.022,1.37,150.0,1.362831661359316,0.519,1.4130062037902906,49.52830123901367
1.2835066658131287,11.81666660308838,172.5,0.219,0.029,1.25,150.0,1.3652310563887806,0.519,1.4130638077356552,49.52830123901367
1.301855823955344,7.170833587646484,-93.0,0.27,0.031,1.2317581907100001,69.0,1.4735732651134856,0.6,1.4205576333969363,25.33407592773438
1.2988591114396397,7.170833587646484,-93.0,0.27,0.031,1.24188643032,69.0,1.321786869188918,0.6,1.4177423844066825,25.33407592773438
1.2874231127552538,7.170833587646484,-93.0,0.27,0.031,1.25146,69.0,1.1426043030067035,0.6,1.4107034598093002,25.33407592773438
1.287546319459254,11.82499980926514,172.5,0.25,0.0255,1.01,142.0,1.3947014484529314,0.52,1.4094110110327065,49.68102264404297
1.2958157914672415,11.82499980926514,172.5,0.25,0.0255,1.25,142.0,1.4059618506682008,0.52,1.4123110163892494,49.68102264404297
1.290320341755174,11.82499980926514,172.5,0.25,0.0255,1.24,142.0,1.391580018153578,0.52,1.4082220184204188,49.68102264404297
1.293541378029512,11.82499980926514,172.5,0.25,0.0255,1.24,142.0,1.3936752441181763,0.52,1.4086467960882627,49.68102264404297
1.2952335644828008,11.82499980926514,172.5,0.25,0.0255,1.32,142.0,1.3931207961387393,0.52,1.4083257845577961,49.68102264404297
1.296467258119857,11.82499980926514,172.5,0.25,0.0255,1.34,142.0,1.391914973512324,0.52,1.4078031403433682,49.68102264404297
1.4096752667358812,18.64999961853027,-6.0,0.248,0.0054,1.53,22.0,1.3366177594443664,0.299,1.4025574571412982,40.83924102783203
1.4070157745296978,18.64999961853027,-6.0,0.248,0.0054,1.26,22.0,1.3393666243451616,0.299,1.4022772980689941,40.83924102783203
1.4373409173400262,18.64999961853027,-6.0,0.248,0.0054,1.65,22.0,1.3721800343137704,0.299,1.406613565501371,40.83924102783203
1.3816236564811488,18.64999961853027,-6.0,0.248,0.0054,1.39,22.0,1.3240176574477138,0.299,1.398563249890926,40.83924102783203
1.5110718411200368,7.320833206176758,-81.0,0.141,0.037,1.2,210.0,1.3603389090018483,0.325,1.4039386527025801,25.882080078125
1.523808835957873,7.320833206176758,-81.0,0.141,0.037,1.2,210.0,1.3920641179888917,0.325,1.4091097705267572,25.882080078125
1.4166146113178266,7.320833206176758,-81.0,0.146,0.019,1.4,210.0,1.3915917917444325,0.365,1.408857150612363,25.882080078125
1.4073538181191223,7.320833206176758,-81.0,0.146,0.019,1.4,210.0,1.3849712585042036,0.365,1.4074179580770503,25.882080078125
1.4079536755275737,7.320833206176758,-81.0,0.207,0.031,1.1,210.0,1.3865512581693007,0.488,1.4075201799189,25.882080078125
0.9123016392327968,15.61666679382324,146.0,0.24,0.0115,1.23,94.0,1.400082677998137,0.12,1.4101307677913981,45.65217590332031
0.9529077857416676,15.61666679382324,146.0,0.24,0.0115,1.33,94.0,1.3841712606399315,0.12,1.406616649202314,45.65217590332031
1.519670044292764,27.94583320617676,-1.0,0.115,0.0077,1.5361800000000005,5.0,1.4735732651134856,0.201,1.402392874023901,62.47927474975586
