SoilTypeWRB,Method,PrecipitationofColdestQuarter,AverageAridityIndex,Longitude,BulkDensity,Season_sin,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,SiltContent,AnnualPrecipitation,UpperD_m
1.4087326690819475,1.1416172166351206,173.0,0.046,-117.0,1.25,0.0,17.45000076293945,0.0143,0.705,565.0,0.05
1.3255662175911256,0.9782203299825373,173.0,0.046,-117.0,1.25,0.0,17.45000076293945,0.0134,0.74,565.0,0.05
1.288194699458057,0.9424205581938935,173.0,0.046,-117.0,0.75,-0.8660254037844385,17.45000076293945,0.0371,0.715,565.0,0.0
1.318444163979509,1.049922437959999,173.0,0.046,-117.0,1.1,-0.8660254037844385,17.45000076293945,0.0147,0.704,565.0,0.0
1.2858595351623578,1.0145889276611981,173.0,0.046,-117.0,1.1,-0.8660254037844385,17.45000076293945,0.0182,0.736,565.0,0.0
1.2590421713864692,0.990762997237125,173.0,0.046,-117.0,0.9,-0.8660254037844385,17.45000076293945,0.0319,0.714,565.0,0.05
1.2730306529000597,1.0405856158208664,173.0,0.046,-117.0,1.25,-0.8660254037844385,17.45000076293945,0.0143,0.705,565.0,0.05
1.2642610327876729,1.044609200380789,173.0,0.046,-117.0,0.75,0.0,17.45000076293945,0.0371,0.715,565.0,0.0
1.294570780504971,1.1127989143952077,173.0,0.046,-117.0,1.1,0.0,17.45000076293945,0.0147,0.704,565.0,0.0
1.288803756445812,1.116308222448715,173.0,0.046,-117.0,0.9,0.0,17.45000076293945,0.0319,0.714,565.0,0.05
1.3121361910127243,1.165139820022248,173.0,0.046,-117.0,1.1,0.0,17.45000076293945,0.0147,0.704,565.0,0.0
1.3082396558249425,1.168238756978244,173.0,0.046,-117.0,1.1,0.0,17.45000076293945,0.0182,0.736,565.0,0.0
1.3014153125624548,1.1660368730971862,173.0,0.046,-117.0,1.1,0.8660254037844387,17.45000076293945,0.0182,0.736,565.0,0.0
1.3032388532439094,1.1762932085341051,173.0,0.046,-117.0,0.9,0.8660254037844387,17.45000076293945,0.0319,0.714,565.0,0.05
1.327206598795296,1.218295446436664,173.0,0.046,-117.0,1.25,0.8660254037844387,17.45000076293945,0.0134,0.74,565.0,0.05
0.8469226735695834,1.0651429933593313,94.0,0.0355,1.0,1.3947899999999995,0.8660254037844387,7.533333301544189,0.013954,0.52,492.0,0.0
0.8115637026157521,1.0579498692872296,94.0,0.0355,1.0,1.3952999999999998,0.8660254037844387,7.533333301544189,0.013954,0.52,492.0,0.0
0.7669476802634023,1.0487446481414802,94.0,0.0355,1.0,1.3854899999999999,0.8660254037844387,7.533333301544189,0.013954,0.52,492.0,0.0
1.1169002096887302,1.0278953039468006,239.0,0.0332,-8.0,1.66,0.01732050807568873,22.88333320617676,0.0085,0.074,564.0,0.0
1.048363053551016,1.015349949007689,239.0,0.0332,-8.0,1.83,0.008660254037844331,22.88333320617676,0.0083,0.138,564.0,0.0
0.9756737373430714,0.9998081214159851,239.0,0.0332,-8.0,1.62,0.008660254037844331,22.88333320617676,0.0114,0.129,564.0,0.0
1.5394629242154132,0.9822652163947204,239.0,0.0332,-8.0,1.7,-5.549831211259311e-17,22.88333320617676,0.0074,0.251,564.0,0.0
0.6332195252225268,0.9728176580998523,109.0,0.0777,17.6,1.28,0.8660254037844387,-0.2166667282581329,0.017,0.41,560.0,0.0
1.2621258000467888,1.6372588754253987,303.0,0.0952,175.3,1.44,0.15588457268119899,15.31666660308838,0.04,0.21,1076.0,0.075
0.6475073689646422,1.4495860404932261,9.0,0.0285,110.3,1.5273100000000008,0.0,-7.183333396911621,0.0034,0.333,423.0,0.001
0.7610787050064054,1.4708844438543303,9.0,0.0285,110.3,1.541300000000001,0.8660254037844387,-7.183333396911621,0.0034,0.333,423.0,0.001
0.8424191651812541,1.474594177641949,9.0,0.0285,110.3,1.5501000000000007,0.8660254037844387,-7.183333396911621,0.0034,0.333,423.0,0.001
0.874122838516359,1.4295744234834282,9.0,0.0285,110.3,1.4985100000000011,0.0,-7.183333396911621,0.003,0.355,423.0,0.001
0.9403433348329693,1.4511961577978838,9.0,0.0285,110.3,1.4664100000000004,0.0,-7.183333396911621,0.003,0.355,423.0,0.001
0.9992799290132323,1.4730168585976884,9.0,0.0285,110.3,1.4415,0.8660254037844387,-7.183333396911621,0.003,0.355,423.0,0.001
1.0377127903531134,1.475605885381088,9.0,0.0285,110.3,1.4550999999999996,0.8660254037844387,-7.183333396911621,0.003,0.355,423.0,0.001
1.057991223645963,1.4616063372967174,9.0,0.0285,110.3,1.4448100000000006,0.0,-7.183333396911621,0.0024,0.335,423.0,0.001
1.0958576798102297,1.475304814697821,9.0,0.0285,110.3,1.44661,0.0,-7.183333396911621,0.0024,0.335,423.0,0.001
1.127360630782633,1.484889436287887,9.0,0.0285,110.3,1.3878899999999994,0.8660254037844387,-7.183333396911621,0.0024,0.335,423.0,0.001
1.1391983461005226,1.4737260330663777,9.0,0.0285,110.3,1.3463699999999994,0.8660254037844387,-7.183333396911621,0.0024,0.335,423.0,0.001
1.1467408445809832,1.4604751854452072,9.0,0.0285,110.3,1.32938831296,0.0,-7.183333396911621,0.0027,0.321,423.0,0.001
1.1700706178106508,1.4685708948514236,9.0,0.0285,110.3,1.3104483129599998,0.0,-7.183333396911621,0.0027,0.321,423.0,0.001
1.1995647495352981,1.4857110335250805,9.0,0.0285,110.3,1.3247483129599997,0.8660254037844387,-7.183333396911621,0.0027,0.321,423.0,0.001
1.214297941390262,1.4870027415786615,9.0,0.0285,110.3,1.3113483129599997,0.8660254037844387,-7.183333396911621,0.0027,0.321,423.0,0.001
1.6372588754253987,0.9686144435966504,119.0,0.008700000000000001,52.5,1.52,-0.00866025403784447,28.63333320617676,0.0136,0.137,200.0,0.0
1.2051684067907138,0.9651092090663734,183.0,0.05810000000000001,172.5,1.37,0.18186533479473213,16.5,0.022,0.519,701.0,0.0
1.2071980132543296,0.9699692115475178,183.0,0.05810000000000001,172.5,1.25,0.17320508075688776,16.5,0.029,0.519,701.0,0.0
1.2621258000467888,0.9855547709592519,69.0,0.0714,-93.0,1.2077999999999998,-0.8660254037844385,-8.583333015441895,0.031,0.6,764.0,0.0
1.0399603417454382,0.9828046088688394,69.0,0.0714,-93.0,1.2115999999999998,-0.8660254037844385,-8.583333015441895,0.031,0.6,764.0,0.0
0.8714360990467686,0.975572076687881,69.0,0.0714,-93.0,1.2331,-0.8660254037844385,-8.583333015441895,0.031,0.6,764.0,0.0
1.2362773783792145,0.9739702704361972,195.0,0.0532,172.5,1.01,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.0
1.2434298735119134,0.9808627624090174,195.0,0.0532,172.5,1.25,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.175
1.2321489674697583,0.9803898940091231,195.0,0.0532,172.5,1.24,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.175
1.2215297894641817,0.9798602162410937,195.0,0.0532,172.5,1.24,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.175
1.209921698217123,0.9786160821859511,195.0,0.0532,172.5,1.32,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.175
1.1986321174138563,0.977202961196781,195.0,0.0532,172.5,1.34,0.8660254037844387,14.80000019073486,0.0255,0.52,637.0,0.175
0.9033102456433302,1.4791392478979688,224.0,0.0304,-6.0,1.53,0.0,26.08333396911621,0.0054,0.299,535.0,0.0
0.9317475888831588,1.4435980085185611,224.0,0.0304,-6.0,1.26,-2.449293598294706e-16,26.08333396911621,0.0054,0.299,535.0,0.0
0.9917356012159012,1.50825963607785,224.0,0.0304,-6.0,1.65,0.0,26.08333396911621,0.0054,0.299,535.0,0.0
0.9673510014184614,1.3787342601319954,224.0,0.0304,-6.0,1.39,-2.449293598294706e-16,26.08333396911621,0.0054,0.299,535.0,0.0
0.9996848622365998,0.9708338456749904,225.0,0.1065,-81.0,1.2,0.8660254037844387,-4.300000190734863,0.037,0.325,1008.0,0.0
1.0198382535019546,0.9764283036655332,225.0,0.1065,-81.0,1.2,0.8660254037844387,-4.300000190734863,0.037,0.325,1008.0,0.0
1.0155081128730472,0.9758809413822541,225.0,0.1065,-81.0,1.4,0.8660254037844387,-4.300000190734863,0.019,0.365,1008.0,0.0
1.0099309989901517,0.9748821204632664,225.0,0.1065,-81.0,1.4,0.8660254037844387,-4.300000190734863,0.019,0.365,1008.0,0.0
1.005861049747296,0.9741914347704843,225.0,0.1065,-81.0,1.1,0.8660254037844387,-4.300000190734863,0.031,0.488,1008.0,0.0
1.0130246722163359,1.2621258000467888,148.0,0.0295,146.0,1.23,0.0,19.81666564941406,0.0115,0.12,506.0,0.0
1.003078602943276,1.0231954394913767,148.0,0.0295,146.0,1.33,0.0,19.81666564941406,0.0115,0.12,506.0,0.0
1.2621258000467888,0.976749128139345,562.0,0.0357,-1.0,1.4789343520900002,-2.449293598294706e-16,26.93333435058594,0.0077,0.201,852.0,0.0
1.5498993766796862,0.9882281124749881,562.0,0.0357,-1.0,1.4877543520900003,-2.449293598294706e-16,26.93333435058594,0.0077,0.201,852.0,0.0
1.6774581106406385,1.000653737028772,562.0,0.0357,-1.0,1.5057626650500004,-2.449293598294706e-16,26.93333435058594,0.0077,0.201,852.0,0.0
1.744114181468541,1.0129060572485573,562.0,0.0357,-1.0,1.5118126650500006,-2.449293598294706e-16,26.93333435058594,0.0077,0.201,852.0,0.0
1.2621258000467888,1.0245899562199314,26.0,0.0328,78.6,1.56,-2.449293598294706e-16,23.25,0.00684,0.171,717.0,0.0
1.2494148972880184,1.0272749440466313,26.0,0.0328,78.6,1.62,-2.449293598294706e-16,23.25,0.00625,0.175,717.0,0.0
1.2446697168844378,1.0298737491970147,26.0,0.0328,78.6,1.41,-2.449293598294706e-16,23.25,0.00889,0.173,717.0,0.0
1.3146773742249025,1.0359827195309563,26.0,0.0328,78.6,1.37,-2.449293598294706e-16,23.25,0.01782,0.179,717.0,0.0
1.1766021798398356,1.046230412546035,330.0,0.1425,135.3,1.05,0.0,5.900000095367432,0.0242,0.29,1676.0,0.0
1.198666915382946,1.056042202535556,330.0,0.1425,135.3,1.1,0.0,5.900000095367432,0.0117,0.29,1676.0,0.0
1.2328382247136462,1.0707577574335299,330.0,0.1425,135.3,1.15,0.0,5.900000095367432,0.0064,0.29,1676.0,0.0
1.2244829396261643,1.0694207698969793,330.0,0.1425,135.3,1.05,0.0,5.900000095367432,0.0242,0.29,1676.0,0.0
1.211479720787575,1.066083010934388,330.0,0.1425,135.3,1.1,0.0,5.900000095367432,0.0117,0.29,1676.0,0.0
1.2078806365645849,1.0663063300383941,330.0,0.1425,135.3,1.15,0.0,5.900000095367432,0.0064,0.29,1676.0,0.0
1.427000608733405,1.0742130491956405,236.0,0.0321,-6.2,1.34675139364,-6.752204463386446e-17,24.41666603088379,0.006,0.32,542.0,0.0
0.9918548012283921,1.074400163290989,157.0,0.05520000000000001,1.4,1.09,0.0,20.60000038146973,0.01,0.502,670.0,0.0
1.0248768928172904,1.082655795820543,157.0,0.05520000000000001,1.4,1.43,0.8660254037844387,20.60000038146973,0.01,0.502,670.0,0.0
